Statistic Label,Month,Type of Residential Property,UNIT,VALUE
Residential Property Price Index,2022 August,National - houses,Base Jan 2005 = 100,138.4
Residential Property Price Index,2022 August,National - apartments,Base Jan 2005 = 100,108.4
Residential Property Price Index,2022 August,Dublin - all residential properties,Base Jan 2005 = 100,126.2
Residential Property Price Index,2022 August,Dublin - houses,Base Jan 2005 = 100,133.6
Residential Property Price Index,2022 August,Dublin - apartments,Base Jan 2005 = 100,105.1
Residential Property Price Index,2022 September,National - all residential properties,Base Jan 2005 = 100,134.3
Residential Property Price Index,2022 September,National - houses,Base Jan 2005 = 100,139.4
Residential Property Price Index,2022 September,National - apartments,Base Jan 2005 = 100,108.2
Residential Property Price Index,2022 September,Dublin - all residential properties,Base Jan 2005 = 100,127.3
Residential Property Price Index,2022 September,Dublin - houses,Base Jan 2005 = 100,134.9
Residential Property Price Index,2022 September,Dublin - apartments,Base Jan 2005 = 100,105.4
Residential Property Price Index,2022 October,National - all residential properties,Base Jan 2005 = 100,134.6
Residential Property Price Index,2022 October,National - houses,Base Jan 2005 = 100,139.5
Residential Property Price Index,2022 October,National - apartments,Base Jan 2005 = 100,109.1
Residential Property Price Index,2022 October,Dublin - all residential properties,Base Jan 2005 = 100,127.2
Residential Property Price Index,2022 October,Dublin - houses,Base Jan 2005 = 100,134.5
Residential Property Price Index,2022 October,Dublin - apartments,Base Jan 2005 = 100,106.5
Residential Property Price Index,2022 November,National - all residential properties,Base Jan 2005 = 100,134.8
Residential Property Price Index,2022 November,National - houses,Base Jan 2005 = 100,139.9
Residential Property Price Index,2022 November,National - apartments,Base Jan 2005 = 100,108.9
Residential Property Price Index,2022 November,Dublin - all residential properties,Base Jan 2005 = 100,127
Residential Property Price Index,2022 November,Dublin - houses,Base Jan 2005 = 100,134.1
Residential Property Price Index,2022 November,Dublin - apartments,Base Jan 2005 = 100,106.6
Residential Property Price Index,2022 December,National - all residential properties,Base Jan 2005 = 100,135.1
Residential Property Price Index,2022 December,National - houses,Base Jan 2005 = 100,140.2
Residential Property Price Index,2022 December,National - apartments,Base Jan 2005 = 100,109
Residential Property Price Index,2022 December,Dublin - all residential properties,Base Jan 2005 = 100,126.5
Residential Property Price Index,2022 December,Dublin - houses,Base Jan 2005 = 100,133.6
Residential Property Price Index,2022 December,Dublin - apartments,Base Jan 2005 = 100,106.3
Residential Property Price Index,2023 January,National - all residential properties,Base Jan 2005 = 100,134.4
Residential Property Price Index,2023 January,National - houses,Base Jan 2005 = 100,139.5
Residential Property Price Index,2023 January,National - apartments,Base Jan 2005 = 100,108.5
Residential Property Price Index,2023 January,Dublin - all residential properties,Base Jan 2005 = 100,125.2
Residential Property Price Index,2023 January,Dublin - houses,Base Jan 2005 = 100,132.2
Residential Property Price Index,2023 January,Dublin - apartments,Base Jan 2005 = 100,105.3
Residential Property Price Index,2023 February,National - all residential properties,Base Jan 2005 = 100,134
Residential Property Price Index,2023 February,National - houses,Base Jan 2005 = 100,139
Residential Property Price Index,2023 February,National - apartments,Base Jan 2005 = 100,108.4
Residential Property Price Index,2023 February,Dublin - all residential properties,Base Jan 2005 = 100,124.5
Residential Property Price Index,2023 February,Dublin - houses,Base Jan 2005 = 100,131.3
Residential Property Price Index,2023 February,Dublin - apartments,Base Jan 2005 = 100,105.3
Residential Property Price Index,2023 March,National - all residential properties,Base Jan 2005 = 100,133.1
Residential Property Price Index,2023 March,National - houses,Base Jan 2005 = 100,138.1
Residential Property Price Index,2023 March,National - apartments,Base Jan 2005 = 100,107.7
Residential Property Price Index,2023 March,Dublin - all residential properties,Base Jan 2005 = 100,123.5
Residential Property Price Index,2023 March,Dublin - houses,Base Jan 2005 = 100,130.2
Residential Property Price Index,2023 March,Dublin - apartments,Base Jan 2005 = 100,104.6
Residential Property Price Index,2023 April,National - all residential properties,Base Jan 2005 = 100,133
Residential Property Price Index,2023 April,National - houses,Base Jan 2005 = 100,138
Residential Property Price Index,2023 April,National - apartments,Base Jan 2005 = 100,107.4
Residential Property Price Index,2023 April,Dublin - all residential properties,Base Jan 2005 = 100,122.4
Residential Property Price Index,2023 April,Dublin - houses,Base Jan 2005 = 100,129.1
Residential Property Price Index,2023 April,Dublin - apartments,Base Jan 2005 = 100,103.8
Residential Property Price Index,2023 May,National - all residential properties,Base Jan 2005 = 100,132.8
Residential Property Price Index,2023 May,National - houses,Base Jan 2005 = 100,137.8
Residential Property Price Index,2023 May,National - apartments,Base Jan 2005 = 100,107.5
Residential Property Price Index,2023 May,Dublin - all residential properties,Base Jan 2005 = 100,122.2
Residential Property Price Index,2023 May,Dublin - houses,Base Jan 2005 = 100,128.8
Residential Property Price Index,2023 May,Dublin - apartments,Base Jan 2005 = 100,103.6
Residential Property Price Index,2023 June,National - all residential properties,Base Jan 2005 = 100,133.6
Residential Property Price Index,2023 June,National - houses,Base Jan 2005 = 100,138.7
Residential Property Price Index,2023 June,National - apartments,Base Jan 2005 = 100,107.7
Residential Property Price Index,2023 June,Dublin - all residential properties,Base Jan 2005 = 100,122.7
Residential Property Price Index,2023 June,Dublin - houses,Base Jan 2005 = 100,129.4
Residential Property Price Index,2023 June,Dublin - apartments,Base Jan 2005 = 100,103.7
Residential Property Price Index,2023 July,National - all residential properties,Base Jan 2005 = 100,134.3
Residential Property Price Index,2023 July,National - houses,Base Jan 2005 = 100,139.4
Residential Property Price Index,2023 July,National - apartments,Base Jan 2005 = 100,108.1
Residential Property Price Index,2023 July,Dublin - all residential properties,Base Jan 2005 = 100,123.1
Residential Property Price Index,2023 July,Dublin - houses,Base Jan 2005 = 100,129.9
Residential Property Price Index,2023 July,Dublin - apartments,Base Jan 2005 = 100,104.2
Residential Property Price Index,2023 August,National - all residential properties,Base Jan 2005 = 100,134.9
Residential Property Price Index,2023 August,National - houses,Base Jan 2005 = 100,140
Residential Property Price Index,2023 August,National - apartments,Base Jan 2005 = 100,109
Residential Property Price Index,2023 August,Dublin - all residential properties,Base Jan 2005 = 100,124
Residential Property Price Index,2023 August,Dublin - houses,Base Jan 2005 = 100,130.7
Residential Property Price Index,2023 August,Dublin - apartments,Base Jan 2005 = 100,104.9
Residential Property Price Index,2023 September,National - all residential properties,Base Jan 2005 = 100,136.2
Residential Property Price Index,2023 September,National - houses,Base Jan 2005 = 100,141.3
Residential Property Price Index,2023 September,National - apartments,Base Jan 2005 = 100,110.2
Residential Property Price Index,2023 September,Dublin - all residential properties,Base Jan 2005 = 100,125.2
Residential Property Price Index,2023 September,Dublin - houses,Base Jan 2005 = 100,132
Residential Property Price Index,2023 September,Dublin - apartments,Base Jan 2005 = 100,105.9
Residential Property Price Index,2023 October,National - all residential properties,Base Jan 2005 = 100,137.6
Residential Property Price Index,2023 October,National - houses,Base Jan 2005 = 100,142.9
Residential Property Price Index,2023 October,National - apartments,Base Jan 2005 = 100,110.6
Residential Property Price Index,2023 October,Dublin - all residential properties,Base Jan 2005 = 100,126.5
Residential Property Price Index,2023 October,Dublin - houses,Base Jan 2005 = 100,133.7
Residential Property Price Index,2023 October,Dublin - apartments,Base Jan 2005 = 100,106.1
Residential Property Price Index,2023 November,National - all residential properties,Base Jan 2005 = 100,138.9
Residential Property Price Index,2023 November,National - houses,Base Jan 2005 = 100,144.2
Residential Property Price Index,2023 November,National - apartments,Base Jan 2005 = 100,112
Residential Property Price Index,2023 November,Dublin - all residential properties,Base Jan 2005 = 100,128.1
Residential Property Price Index,2023 November,Dublin - houses,Base Jan 2005 = 100,135.3
Residential Property Price Index,2023 November,Dublin - apartments,Base Jan 2005 = 100,107.5
Residential Property Price Index,2023 December,National - all residential properties,Base Jan 2005 = 100,140.7
Residential Property Price Index,2023 December,National - houses,Base Jan 2005 = 100,146
Residential Property Price Index,2023 December,National - apartments,Base Jan 2005 = 100,113.4
Residential Property Price Index,2023 December,Dublin - all residential properties,Base Jan 2005 = 100,129.7
Residential Property Price Index,2023 December,Dublin - houses,Base Jan 2005 = 100,137.1
Residential Property Price Index,2023 December,Dublin - apartments,Base Jan 2005 = 100,108.8
Residential Property Price Index,2024 January,National - all residential properties,Base Jan 2005 = 100,141.6
Residential Property Price Index,2024 January,National - houses,Base Jan 2005 = 100,147
Residential Property Price Index,2024 January,National - apartments,Base Jan 2005 = 100,113.9
Residential Property Price Index,2024 January,Dublin - all residential properties,Base Jan 2005 = 100,130.9
Residential Property Price Index,2024 January,Dublin - houses,Base Jan 2005 = 100,138.5
Residential Property Price Index,2024 January,Dublin - apartments,Base Jan 2005 = 100,109.4
Residential Property Price Index,2024 February,National - all residential properties,Base Jan 2005 = 100,142.2
Residential Property Price Index,2024 February,National - houses,Base Jan 2005 = 100,147.6
Residential Property Price Index,2024 February,National - apartments,Base Jan 2005 = 100,114.7
Residential Property Price Index,2024 February,Dublin - all residential properties,Base Jan 2005 = 100,131.5
Residential Property Price Index,2024 February,Dublin - houses,Base Jan 2005 = 100,139.1
Residential Property Price Index,2024 February,Dublin - apartments,Base Jan 2005 = 100,110
Residential Property Price Index,2024 March,National - all residential properties,Base Jan 2005 = 100,142.9
Residential Property Price Index,2024 March,National - houses,Base Jan 2005 = 100,148.4
Residential Property Price Index,2024 March,National - apartments,Base Jan 2005 = 100,115
Residential Property Price Index,2024 March,Dublin - all residential properties,Base Jan 2005 = 100,132.5
Residential Property Price Index,2024 March,Dublin - houses,Base Jan 2005 = 100,140.4
Residential Property Price Index,2024 March,Dublin - apartments,Base Jan 2005 = 100,109.9
Residential Property Price Index,2024 April,National - all residential properties,Base Jan 2005 = 100,143.6
Residential Property Price Index,2024 April,National - houses,Base Jan 2005 = 100,149.1
Residential Property Price Index,2024 April,National - apartments,Base Jan 2005 = 100,115.5
Residential Property Price Index,2024 April,Dublin - all residential properties,Base Jan 2005 = 100,132.5
Residential Property Price Index,2024 April,Dublin - houses,Base Jan 2005 = 100,140.4
Residential Property Price Index,2024 April,Dublin - apartments,Base Jan 2005 = 100,110.2
Residential Property Price Index,2024 May,National - all residential properties,Base Jan 2005 = 100,144.1
Residential Property Price Index,2024 May,National - houses,Base Jan 2005 = 100,149.7
Residential Property Price Index,2024 May,National - apartments,Base Jan 2005 = 100,115.9
Residential Property Price Index,2024 May,Dublin - all residential properties,Base Jan 2005 = 100,133
Residential Property Price Index,2024 May,Dublin - houses,Base Jan 2005 = 100,141
Residential Property Price Index,2024 May,Dublin - apartments,Base Jan 2005 = 100,110.3
Residential Property Price Index,2024 June,National - all residential properties,Base Jan 2005 = 100,145.4
Residential Property Price Index,2024 June,National - houses,Base Jan 2005 = 100,151.2
Residential Property Price Index,2024 June,National - apartments,Base Jan 2005 = 100,116.3
Residential Property Price Index,2024 June,Dublin - all residential properties,Base Jan 2005 = 100,134.1
Residential Property Price Index,2024 June,Dublin - houses,Base Jan 2005 = 100,142.2
Residential Property Price Index,2024 June,Dublin - apartments,Base Jan 2005 = 100,111.1
Residential Property Price Index,2024 July,National - all residential properties,Base Jan 2005 = 100,147.2
Residential Property Price Index,2024 July,National - houses,Base Jan 2005 = 100,153
Residential Property Price Index,2024 July,National - apartments,Base Jan 2005 = 100,117.8
Residential Property Price Index,2024 July,Dublin - all residential properties,Base Jan 2005 = 100,135.9
Residential Property Price Index,2024 July,Dublin - houses,Base Jan 2005 = 100,144
Residential Property Price Index,2024 July,Dublin - apartments,Base Jan 2005 = 100,113
Residential Property Price Index,2024 August,National - all residential properties,Base Jan 2005 = 100,148.6
Residential Property Price Index,2024 August,National - houses,Base Jan 2005 = 100,154.5
Residential Property Price Index,2024 August,National - apartments,Base Jan 2005 = 100,118.3
Residential Property Price Index,2024 August,Dublin - all residential properties,Base Jan 2005 = 100,137.5
Residential Property Price Index,2024 August,Dublin - houses,Base Jan 2005 = 100,145.8
Residential Property Price Index,2024 August,Dublin - apartments,Base Jan 2005 = 100,113.8
Residential Property Price Index,2024 September,National - all residential properties,Base Jan 2005 = 100,149.7
Residential Property Price Index,2024 September,National - houses,Base Jan 2005 = 100,155.8
Residential Property Price Index,2024 September,National - apartments,Base Jan 2005 = 100,118.9
Residential Property Price Index,2024 September,Dublin - all residential properties,Base Jan 2005 = 100,138.7
Residential Property Price Index,2024 September,Dublin - houses,Base Jan 2005 = 100,147.2
Residential Property Price Index,2024 September,Dublin - apartments,Base Jan 2005 = 100,114.4
Residential Property Price Index,2024 October,National - all residential properties,Base Jan 2005 = 100,150.9
Residential Property Price Index,2024 October,National - houses,Base Jan 2005 = 100,157
Residential Property Price Index,2024 October,National - apartments,Base Jan 2005 = 100,119.8
Residential Property Price Index,2024 October,Dublin - all residential properties,Base Jan 2005 = 100,139.5
Residential Property Price Index,2024 October,Dublin - houses,Base Jan 2005 = 100,148
Residential Property Price Index,2024 October,Dublin - apartments,Base Jan 2005 = 100,115.4
Residential Property Price Index,2024 November,National - all residential properties,Base Jan 2005 = 100,152.2
Residential Property Price Index,2024 November,National - houses,Base Jan 2005 = 100,158.4
Residential Property Price Index,2024 November,National - apartments,Base Jan 2005 = 100,120.7
Residential Property Price Index,2024 November,Dublin - all residential properties,Base Jan 2005 = 100,140.5
Residential Property Price Index,2024 November,Dublin - houses,Base Jan 2005 = 100,149
Residential Property Price Index,2024 November,Dublin - apartments,Base Jan 2005 = 100,116.6
Residential Property Price Index,2024 December,National - all residential properties,Base Jan 2005 = 100,153.1
Residential Property Price Index,2024 December,National - houses,Base Jan 2005 = 100,159.4
Residential Property Price Index,2024 December,National - apartments,Base Jan 2005 = 100,121
Residential Property Price Index,2024 December,Dublin - all residential properties,Base Jan 2005 = 100,140.6
Residential Property Price Index,2024 December,Dublin - houses,Base Jan 2005 = 100,149
Residential Property Price Index,2024 December,Dublin - apartments,Base Jan 2005 = 100,116.8
Residential Property Price Index,2025 January,National - all residential properties,Base Jan 2005 = 100,153.4
Residential Property Price Index,2025 January,National - houses,Base Jan 2005 = 100,159.8
Residential Property Price Index,2025 January,National - apartments,Base Jan 2005 = 100,120.8
Residential Property Price Index,2025 January,Dublin - all residential properties,Base Jan 2005 = 100,140.9
Residential Property Price Index,2025 January,Dublin - houses,Base Jan 2005 = 100,149.5
Residential Property Price Index,2025 January,Dublin - apartments,Base Jan 2005 = 100,116.4
Residential Property Price Index,2025 February,National - all residential properties,Base Jan 2005 = 100,153.6
Residential Property Price Index,2025 February,National - houses,Base Jan 2005 = 100,160
Residential Property Price Index,2025 February,National - apartments,Base Jan 2005 = 100,120.8
Residential Property Price Index,2025 February,Dublin - all residential properties,Base Jan 2005 = 100,140.9
Residential Property Price Index,2025 February,Dublin - houses,Base Jan 2005 = 100,149.5
Residential Property Price Index,2025 February,Dublin - apartments,Base Jan 2005 = 100,116.3
Residential Property Price Index,2025 March,National - all residential properties,Base Jan 2005 = 100,153.8
Residential Property Price Index,2025 March,National - houses,Base Jan 2005 = 100,160.1
Residential Property Price Index,2025 March,National - apartments,Base Jan 2005 = 100,121.5
Residential Property Price Index,2025 March,Dublin - all residential properties,Base Jan 2005 = 100,140.4
Residential Property Price Index,2025 March,Dublin - houses,Base Jan 2005 = 100,148.8
Residential Property Price Index,2025 March,Dublin - apartments,Base Jan 2005 = 100,116.6
Residential Property Price Index,2025 April,National - all residential properties,Base Jan 2005 = 100,154.5
Residential Property Price Index,2025 April,National - houses,Base Jan 2005 = 100,160.7
Residential Property Price Index,2025 April,National - apartments,Base Jan 2005 = 100,122.8
Residential Property Price Index,2025 April,Dublin - all residential properties,Base Jan 2005 = 100,141.1
Residential Property Price Index,2025 April,Dublin - houses,Base Jan 2005 = 100,149.4
Residential Property Price Index,2025 April,Dublin - apartments,Base Jan 2005 = 100,117.5
Residential Property Price Index,2025 May,National - all residential properties,Base Jan 2005 = 100,155.3
Residential Property Price Index,2025 May,National - houses,Base Jan 2005 = 100,161.5
Residential Property Price Index,2025 May,National - apartments,Base Jan 2005 = 100,124
Residential Property Price Index,2025 May,Dublin - all residential properties,Base Jan 2005 = 100,142
Residential Property Price Index,2025 May,Dublin - houses,Base Jan 2005 = 100,150.2
Residential Property Price Index,2025 May,Dublin - apartments,Base Jan 2005 = 100,118.7
Residential Property Price Index,2025 June,National - all residential properties,Base Jan 2005 = 100,156.9
Residential Property Price Index,2025 June,National - houses,Base Jan 2005 = 100,163.3
Residential Property Price Index,2025 June,National - apartments,Base Jan 2005 = 100,124.3
Residential Property Price Index,2025 June,Dublin - all residential properties,Base Jan 2005 = 100,143.2
Residential Property Price Index,2025 June,Dublin - houses,Base Jan 2005 = 100,151.7
Residential Property Price Index,2025 June,Dublin - apartments,Base Jan 2005 = 100,118.8
Residential Property Price Index,2025 July,National - all residential properties,Base Jan 2005 = 100,158.1
Residential Property Price Index,2025 July,National - houses,Base Jan 2005 = 100,164.6
Residential Property Price Index,2025 July,National - apartments,Base Jan 2005 = 100,125
Residential Property Price Index,2025 July,Dublin - all residential properties,Base Jan 2005 = 100,143.8
Residential Property Price Index,2025 July,Dublin - houses,Base Jan 2005 = 100,152.5
Residential Property Price Index,2025 July,Dublin - apartments,Base Jan 2005 = 100,119.1
Residential Property Price Index,2025 August,National - all residential properties,Base Jan 2005 = 100,159.6
Residential Property Price Index,2025 August,National - houses,Base Jan 2005 = 100,166.1
Residential Property Price Index,2025 August,National - apartments,Base Jan 2005 = 100,126.4
Residential Property Price Index,2025 August,Dublin - all residential properties,Base Jan 2005 = 100,144.7
Residential Property Price Index,2025 August,Dublin - houses,Base Jan 2005 = 100,153.3
Residential Property Price Index,2025 August,Dublin - apartments,Base Jan 2005 = 100,120.2
